Coords, Spline 1, Spline 2, Spline 3, 
0, 1, 0, 0, 
1.010101e-05, 9.799000e-01, 1.999796e-02, 1.020304e-04, 
2.020202e-05, 9.600041e-01, 3.958780e-02, 4.081216e-04, 
3.030303e-05, 9.403122e-01, 5.876951e-02, 9.182736e-04, 
4.040404e-05, 9.208244e-01, 7.754311e-02, 1.632486e-03, 
5.050505e-05, 9.015407e-01, 9.590858e-02, 2.550760e-03, 
6.060606e-05, 8.824610e-01, 1.138659e-01, 3.673095e-03, 
7.070707e-05, 8.635853e-01, 1.314152e-01, 4.999490e-03, 
8.080808e-05, 8.449138e-01, 1.485563e-01, 6.529946e-03, 
9.090909e-05, 8.264463e-01, 1.652893e-01, 8.264463e-03, 
1.010101e-04, 8.081828e-01, 1.816141e-01, 1.020304e-02, 
1.111111e-04, 7.901235e-01, 1.975309e-01, 1.234568e-02, 
1.212121e-04, 7.722681e-01, 2.130395e-01, 1.469238e-02, 
1.313131e-04, 7.546169e-01, 2.281400e-01, 1.724314e-02, 
1.414141e-04, 7.371697e-01, 2.428324e-01, 1.999796e-02, 
1.515152e-04, 7.199265e-01, 2.571166e-01, 2.295684e-02, 
1.616162e-04, 7.028875e-01, 2.709928e-01, 2.611978e-02, 
1.717172e-04, 6.860524e-01, 2.844608e-01, 2.948679e-02, 
1.818182e-04, 6.694215e-01, 2.975207e-01, 3.305785e-02, 
1.919192e-04, 6.529946e-01, 3.101724e-01, 3.683298e-02, 
2.020202e-04, 6.367718e-01, 3.224161e-01, 4.081216e-02, 
2.121212e-04, 6.207530e-01, 3.342516e-01, 4.499541e-02, 
2.222222e-04, 6.049383e-01, 3.456790e-01, 4.938272e-02, 
2.323232e-04, 5.893276e-01, 3.566983e-01, 5.397408e-02, 
2.424242e-04, 5.739210e-01, 3.673095e-01, 5.876951e-02, 
2.525253e-04, 5.587185e-01, 3.775125e-01, 6.376900e-02, 
2.626263e-04, 5.437200e-01, 3.873074e-01, 6.897255e-02, 
2.727273e-04, 5.289256e-01, 3.966942e-01, 7.438017e-02, 
2.828283e-04, 5.143353e-01, 4.056729e-01, 7.999184e-02, 
2.929293e-04, 4.999490e-01, 4.142434e-01, 8.580757e-02, 
3.030303e-04, 4.857668e-01, 4.224059e-01, 9.182736e-02, 
3.131313e-04, 4.717886e-01, 4.301602e-01, 9.805122e-02, 
3.232323e-04, 4.580145e-01, 4.375064e-01, 1.044791e-01, 
3.333333e-04, 4.444444e-01, 4.444444e-01, 1.111111e-01, 
3.434343e-04, 4.310785e-01, 4.509744e-01, 1.179471e-01, 
3.535354e-04, 4.179165e-01, 4.570962e-01, 1.249872e-01, 
3.636364e-04, 4.049587e-01, 4.628099e-01, 1.322314e-01, 
3.737374e-04, 3.922049e-01, 4.681155e-01, 1.396796e-01, 
3.838384e-04, 3.796551e-01, 4.730130e-01, 1.473319e-01, 
3.939394e-04, 3.673095e-01, 4.775023e-01, 1.551882e-01, 
4.040404e-04, 3.551678e-01, 4.815835e-01, 1.632486e-01, 
4.141414e-04, 3.432303e-01, 4.852566e-01, 1.715131e-01, 
4.242424e-04, 3.314968e-01, 4.885216e-01, 1.799816e-01, 
4.343434e-04, 3.199674e-01, 4.913784e-01, 1.886542e-01, 
4.444444e-04, 3.086420e-01, 4.938272e-01, 1.975309e-01, 
4.545455e-04, 2.975207e-01, 4.958678e-01, 2.066116e-01, 
4.646465e-04, 2.866034e-01, 4.975003e-01, 2.158963e-01, 
4.747475e-04, 2.758902e-01, 4.987246e-01, 2.253852e-01, 
4.848485e-04, 2.653811e-01, 4.995409e-01, 2.350781e-01, 
4.949495e-04, 2.550760e-01, 4.999490e-01, 2.449750e-01, 
5.050505e-04, 2.449750e-01, 4.999490e-01, 2.550760e-01, 
5.151515e-04, 2.350781e-01, 4.995409e-01, 2.653811e-01, 
5.252525e-04, 2.253852e-01, 4.987246e-01, 2.758902e-01, 
5.353535e-04, 2.158963e-01, 4.975003e-01, 2.866034e-01, 
5.454545e-04, 2.066116e-01, 4.958678e-01, 2.975207e-01, 
5.555556e-04, 1.975309e-01, 4.938272e-01, 3.086420e-01, 
5.656566e-04, 1.886542e-01, 4.913784e-01, 3.199674e-01, 
5.757576e-04, 1.799816e-01, 4.885216e-01, 3.314968e-01, 
5.858586e-04, 1.715131e-01, 4.852566e-01, 3.432303e-01, 
5.959596e-04, 1.632486e-01, 4.815835e-01, 3.551678e-01, 
6.060606e-04, 1.551882e-01, 4.775023e-01, 3.673095e-01, 
6.161616e-04, 1.473319e-01, 4.730130e-01, 3.796551e-01, 
6.262626e-04, 1.396796e-01, 4.681155e-01, 3.922049e-01, 
6.363636e-04, 1.322314e-01, 4.628099e-01, 4.049587e-01, 
6.464646e-04, 1.249872e-01, 4.570962e-01, 4.179165e-01, 
6.565657e-04, 1.179471e-01, 4.509744e-01, 4.310785e-01, 
6.666667e-04, 1.111111e-01, 4.444444e-01, 4.444444e-01, 
6.767677e-04, 1.044791e-01, 4.375064e-01, 4.580145e-01, 
6.868687e-04, 9.805122e-02, 4.301602e-01, 4.717886e-01, 
6.969697e-04, 9.182736e-02, 4.224059e-01, 4.857668e-01, 
7.070707e-04, 8.580757e-02, 4.142434e-01, 4.999490e-01, 
7.171717e-04, 7.999184e-02, 4.056729e-01, 5.143353e-01, 
7.272727e-04, 7.438017e-02, 3.966942e-01, 5.289256e-01, 
7.373737e-04, 6.897255e-02, 3.873074e-01, 5.437200e-01, 
7.474747e-04, 6.376900e-02, 3.775125e-01, 5.587185e-01, 
7.575758e-04, 5.876951e-02, 3.673095e-01, 5.739210e-01, 
7.676768e-04, 5.397408e-02, 3.566983e-01, 5.893276e-01, 
7.777778e-04, 4.938272e-02, 3.456790e-01, 6.049383e-01, 
7.878788e-04, 4.499541e-02, 3.342516e-01, 6.207530e-01, 
7.979798e-04, 4.081216e-02, 3.224161e-01, 6.367718e-01, 
8.080808e-04, 3.683298e-02, 3.101724e-01, 6.529946e-01, 
8.181818e-04, 3.305785e-02, 2.975207e-01, 6.694215e-01, 
8.282828e-04, 2.948679e-02, 2.844608e-01, 6.860524e-01, 
8.383838e-04, 2.611978e-02, 2.709928e-01, 7.028875e-01, 
8.484848e-04, 2.295684e-02, 2.571166e-01, 7.199265e-01, 
8.585859e-04, 1.999796e-02, 2.428324e-01, 7.371697e-01, 
8.686869e-04, 1.724314e-02, 2.281400e-01, 7.546169e-01, 
8.787879e-04, 1.469238e-02, 2.130395e-01, 7.722681e-01, 
8.888889e-04, 1.234568e-02, 1.975309e-01, 7.901235e-01, 
8.989899e-04, 1.020304e-02, 1.816141e-01, 8.081828e-01, 
9.090909e-04, 8.264463e-03, 1.652893e-01, 8.264463e-01, 
9.191919e-04, 6.529946e-03, 1.485563e-01, 8.449138e-01, 
9.292929e-04, 4.999490e-03, 1.314152e-01, 8.635853e-01, 
9.393939e-04, 3.673095e-03, 1.138659e-01, 8.824610e-01, 
9.494949e-04, 2.550760e-03, 9.590858e-02, 9.015407e-01, 
9.595960e-04, 1.632486e-03, 7.754311e-02, 9.208244e-01, 
9.696970e-04, 9.182736e-04, 5.876951e-02, 9.403122e-01, 
9.797980e-04, 4.081216e-04, 3.958780e-02, 9.600041e-01, 
9.898990e-04, 1.020304e-04, 1.999796e-02, 9.799000e-01, 
1.000000e-03, 0, 0, 1, 
