Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, 
0, 1, 0, 0, 0, 0, 0, 
1.010101e-04, 9.208244e-01, 7.835935e-02, 8.162432e-04, 0, 0, 0, 
2.020202e-04, 8.449138e-01, 1.518212e-01, 3.264973e-03, 0, 0, 0, 
3.030303e-04, 7.722681e-01, 2.203857e-01, 7.346189e-03, 0, 0, 0, 
4.040404e-04, 7.028875e-01, 2.840526e-01, 1.305989e-02, 0, 0, 0, 
5.050505e-04, 6.367718e-01, 3.428222e-01, 2.040608e-02, 0, 0, 0, 
6.060606e-04, 5.739210e-01, 3.966942e-01, 2.938476e-02, 0, 0, 0, 
7.070707e-04, 5.143353e-01, 4.456688e-01, 3.999592e-02, 0, 0, 0, 
8.080808e-04, 4.580145e-01, 4.897459e-01, 5.223957e-02, 0, 0, 0, 
9.090909e-04, 4.049587e-01, 5.289256e-01, 6.611570e-02, 0, 0, 0, 
1.010101e-03, 3.551678e-01, 5.632078e-01, 8.162432e-02, 0, 0, 0, 
1.111111e-03, 3.086420e-01, 5.925926e-01, 9.876543e-02, 0, 0, 0, 
1.212121e-03, 2.653811e-01, 6.170799e-01, 1.175390e-01, 0, 0, 0, 
1.313131e-03, 2.253852e-01, 6.366697e-01, 1.379451e-01, 0, 0, 0, 
1.414141e-03, 1.886542e-01, 6.513621e-01, 1.599837e-01, 0, 0, 0, 
1.515152e-03, 1.551882e-01, 6.611570e-01, 1.836547e-01, 0, 0, 0, 
1.616162e-03, 1.249872e-01, 6.660545e-01, 2.089583e-01, 0, 0, 0, 
1.717172e-03, 9.805122e-02, 6.660545e-01, 2.358943e-01, 0, 0, 0, 
1.818182e-03, 7.438017e-02, 6.611570e-01, 2.644628e-01, 0, 0, 0, 
1.919192e-03, 5.397408e-02, 6.513621e-01, 2.946638e-01, 0, 0, 0, 
2.020202e-03, 3.683298e-02, 6.366697e-01, 3.264973e-01, 0, 0, 0, 
2.121212e-03, 2.295684e-02, 6.170799e-01, 3.599633e-01, 0, 0, 0, 
2.222222e-03, 1.234568e-02, 5.925926e-01, 3.950617e-01, 0, 0, 0, 
2.323232e-03, 4.999490e-03, 5.632078e-01, 4.317927e-01, 0, 0, 0, 
2.424242e-03, 9.182736e-04, 5.289256e-01, 4.701561e-01, 0, 0, 0, 
2.525253e-03, 0, 4.899500e-01, 5.099990e-01, 5.101520e-05, 0, 0, 
2.626263e-03, 0, 4.507703e-01, 5.479543e-01, 1.275380e-03, 0, 0, 
2.727273e-03, 0, 4.132231e-01, 5.826446e-01, 4.132231e-03, 0, 0, 
2.828283e-03, 0, 3.773084e-01, 6.140700e-01, 8.621569e-03, 0, 0, 
2.929293e-03, 0, 3.430262e-01, 6.422304e-01, 1.474339e-02, 0, 0, 
3.030303e-03, 0, 3.103765e-01, 6.671258e-01, 2.249770e-02, 0, 0, 
3.131313e-03, 0, 2.793592e-01, 6.887562e-01, 3.188450e-02, 0, 0, 
3.232323e-03, 0, 2.499745e-01, 7.071217e-01, 4.290379e-02, 0, 0, 
3.333333e-03, 0, 2.222222e-01, 7.222222e-01, 5.555556e-02, 0, 0, 
3.434343e-03, 0, 1.961024e-01, 7.340577e-01, 6.983981e-02, 0, 0, 
3.535354e-03, 0, 1.716151e-01, 7.426283e-01, 8.575656e-02, 0, 0, 
3.636364e-03, 0, 1.487603e-01, 7.479339e-01, 1.033058e-01, 0, 0, 
3.737374e-03, 0, 1.275380e-01, 7.499745e-01, 1.224875e-01, 0, 0, 
3.838384e-03, 0, 1.079482e-01, 7.487501e-01, 1.433017e-01, 0, 0, 
3.939394e-03, 0, 8.999082e-02, 7.442608e-01, 1.657484e-01, 0, 0, 
4.040404e-03, 0, 7.366595e-02, 7.365065e-01, 1.898276e-01, 0, 0, 
4.141414e-03, 0, 5.897357e-02, 7.254872e-01, 2.155392e-01, 0, 0, 
4.242424e-03, 0, 4.591368e-02, 7.112029e-01, 2.428834e-01, 0, 0, 
4.343434e-03, 0, 3.448628e-02, 6.936537e-01, 2.718600e-01, 0, 0, 
4.444444e-03, 0, 2.469136e-02, 6.728395e-01, 3.024691e-01, 0, 0, 
4.545455e-03, 0, 1.652893e-02, 6.487603e-01, 3.347107e-01, 0, 0, 
4.646465e-03, 0, 9.998980e-03, 6.214162e-01, 3.685848e-01, 0, 0, 
4.747475e-03, 0, 5.101520e-03, 5.908071e-01, 4.040914e-01, 0, 0, 
4.848485e-03, 0, 1.836547e-03, 5.569330e-01, 4.412305e-01, 0, 0, 
4.949495e-03, 0, 2.040608e-04, 5.197939e-01, 4.800020e-01, 0, 0, 
5.050505e-03, 0, 0, 4.800020e-01, 5.197939e-01, 2.040608e-04, 0, 
5.151515e-03, 0, 0, 4.412305e-01, 5.569330e-01, 1.836547e-03, 0, 
5.252525e-03, 0, 0, 4.040914e-01, 5.908071e-01, 5.101520e-03, 0, 
5.353535e-03, 0, 0, 3.685848e-01, 6.214162e-01, 9.998980e-03, 0, 
5.454545e-03, 0, 0, 3.347107e-01, 6.487603e-01, 1.652893e-02, 0, 
5.555556e-03, 0, 0, 3.024691e-01, 6.728395e-01, 2.469136e-02, 0, 
5.656566e-03, 0, 0, 2.718600e-01, 6.936537e-01, 3.448628e-02, 0, 
5.757576e-03, 0, 0, 2.428834e-01, 7.112029e-01, 4.591368e-02, 0, 
5.858586e-03, 0, 0, 2.155392e-01, 7.254872e-01, 5.897357e-02, 0, 
5.959596e-03, 0, 0, 1.898276e-01, 7.365065e-01, 7.366595e-02, 0, 
6.060606e-03, 0, 0, 1.657484e-01, 7.442608e-01, 8.999082e-02, 0, 
6.161616e-03, 0, 0, 1.433017e-01, 7.487501e-01, 1.079482e-01, 0, 
6.262626e-03, 0, 0, 1.224875e-01, 7.499745e-01, 1.275380e-01, 0, 
6.363636e-03, 0, 0, 1.033058e-01, 7.479339e-01, 1.487603e-01, 0, 
6.464646e-03, 0, 0, 8.575656e-02, 7.426283e-01, 1.716151e-01, 0, 
6.565657e-03, 0, 0, 6.983981e-02, 7.340577e-01, 1.961024e-01, 0, 
6.666667e-03, 0, 0, 5.555556e-02, 7.222222e-01, 2.222222e-01, 0, 
6.767677e-03, 0, 0, 4.290379e-02, 7.071217e-01, 2.499745e-01, 0, 
6.868687e-03, 0, 0, 3.188450e-02, 6.887562e-01, 2.793592e-01, 0, 
6.969697e-03, 0, 0, 2.249770e-02, 6.671258e-01, 3.103765e-01, 0, 
7.070707e-03, 0, 0, 1.474339e-02, 6.422304e-01, 3.430262e-01, 0, 
7.171717e-03, 0, 0, 8.621569e-03, 6.140700e-01, 3.773084e-01, 0, 
7.272727e-03, 0, 0, 4.132231e-03, 5.826446e-01, 4.132231e-01, 0, 
7.373737e-03, 0, 0, 1.275380e-03, 5.479543e-01, 4.507703e-01, 0, 
7.474747e-03, 0, 0, 5.101520e-05, 5.099990e-01, 4.899500e-01, 0, 
7.575758e-03, 0, 0, 0, 4.701561e-01, 5.289256e-01, 9.182736e-04, 
7.676768e-03, 0, 0, 0, 4.317927e-01, 5.632078e-01, 4.999490e-03, 
7.777778e-03, 0, 0, 0, 3.950617e-01, 5.925926e-01, 1.234568e-02, 
7.878788e-03, 0, 0, 0, 3.599633e-01, 6.170799e-01, 2.295684e-02, 
7.979798e-03, 0, 0, 0, 3.264973e-01, 6.366697e-01, 3.683298e-02, 
8.080808e-03, 0, 0, 0, 2.946638e-01, 6.513621e-01, 5.397408e-02, 
8.181818e-03, 0, 0, 0, 2.644628e-01, 6.611570e-01, 7.438017e-02, 
8.282828e-03, 0, 0, 0, 2.358943e-01, 6.660545e-01, 9.805122e-02, 
8.383838e-03, 0, 0, 0, 2.089583e-01, 6.660545e-01, 1.249872e-01, 
8.484848e-03, 0, 0, 0, 1.836547e-01, 6.611570e-01, 1.551882e-01, 
8.585859e-03, 0, 0, 0, 1.599837e-01, 6.513621e-01, 1.886542e-01, 
8.686869e-03, 0, 0, 0, 1.379451e-01, 6.366697e-01, 2.253852e-01, 
8.787879e-03, 0, 0, 0, 1.175390e-01, 6.170799e-01, 2.653811e-01, 
8.888889e-03, 0, 0, 0, 9.876543e-02, 5.925926e-01, 3.086420e-01, 
8.989899e-03, 0, 0, 0, 8.162432e-02, 5.632078e-01, 3.551678e-01, 
9.090909e-03, 0, 0, 0, 6.611570e-02, 5.289256e-01, 4.049587e-01, 
9.191919e-03, 0, 0, 0, 5.223957e-02, 4.897459e-01, 4.580145e-01, 
9.292929e-03, 0, 0, 0, 3.999592e-02, 4.456688e-01, 5.143353e-01, 
9.393939e-03, 0, 0, 0, 2.938476e-02, 3.966942e-01, 5.739210e-01, 
9.494949e-03, 0, 0, 0, 2.040608e-02, 3.428222e-01, 6.367718e-01, 
9.595960e-03, 0, 0, 0, 1.305989e-02, 2.840526e-01, 7.028875e-01, 
9.696970e-03, 0, 0, 0, 7.346189e-03, 2.203857e-01, 7.722681e-01, 
9.797980e-03, 0, 0, 0, 3.264973e-03, 1.518212e-01, 8.449138e-01, 
9.898990e-03, 0, 0, 0, 8.162432e-04, 7.835935e-02, 9.208244e-01, 
1.000000e-02, 0, 0, 0, 0, 0, 1, 
